context,prompt,utterance
positive,Family bonding,Did you spend a lot of time with your family?_period_
positive,Family bonding,Yes_comma_ it was great family bonding for us especially with my siblings_period_
neutral,Sibling activities,What activities would you and your siblings do together?_period_
positive,Sibling bonding,We would play games and tell stories to one another. You just reminded me of how I truly miss these times_period_
positive,Enjoying summer,What is your favorite thing to do during the summer?_period_
positive,Relaxing in summer,I love going outside_comma_watching people and just relaxing. I have to get up so early during the school year so it's nice to have down time_period_
neutral,Watching people,What do you like to watch?_period_
positive,Watching nature,I like to watch people come by and also the squirrels and birds. It's so beautiful_period_
negative,End of summer,That's sounds lovely. Are you sad summer is ending?_period_
positive,Feeling sad about summer,Yes_comma_ I am very sad summer is ending. I love summer it's so peaceful_period_
positive,Looking forward to company,I totally understand that. Well I am excited to hang out with you more_period_
positive,Looking forward to company,Yes_comma_ me too! That is definitely something I am looking forward to even though the summer is ending_period_
positive,Ideal summer day,What is your ideal day during the summer?_period_
positive,Ideal day outdoors,Sit outside_comma_people watch_comma_and just relax_period_
positive,Enjoying summer activities,That sounds like a perfect day during the summer. Do you like any activity the best?_period_
positive,Visiting the park,I like to go to the park and watch the kids play_period_
positive,Nostalgia,That sounds like so much fun I used to do that all the time when I was a kid_period_
positive,Glad for summer time,Yes_comma_ it is really fun. I am really glad we have had this time together this summer_period_
positive,Not wanting school to start,Me too_comma_I don't want school to start_period_
positive,Still spending time together,I know_comma_but I am happy we can still spend time together_period_
positive,Outdoor activities,What are some summer activities you do?_period_
positive,Enjoying outdoor time,I enjoy being outdoors_comma_people watching and relaxing_period_
neutral,Interest in people watching,Why do you like to people watch?_period_
positive,Watching families and friends,I like seeing families all together and friend groups_period_
neutral,Watching other things,Do you watch for anything else besides people?_period_
positive,Watching animals,Yes_comma_ I always see birds and squirrels also_period_
positive,Staying inside,Do you like to stay inside at all?_period_
neutral,Enjoying the outdoors,Only during certain times of the day. I like being outside the best because it is very peaceful_period_
neutral,Morning routine,Do you have a rigorous morning routine?_period_
positive,Simple morning routine,I have a very easy morning routine because I wake up very early_period_
neutral,Preparing the night before,Do you do anything the night before to prepare?_period_
positive,Preparing for the morning,The only thing I do is put on my socks before bed_period_
neutral,Morning preparation,What do you do during the morning then before you get on the bus?_period_
positive,Morning tasks,I throwaway my underwear_comma_pants_comma_and shirt. Then_comma_I use the bathroom and go downstairs to eat cereal. When I am done with breakfast I brush my teeth and hair. Then I get on the bus at 7 am_period_
neutral,Preparing for the morning,Do you do anything the night before to prepare for your mornings?_period_
positive,Socks before bed,I put my socks on before going to bed the night before so there's one less thing I have to do!_period_
neutral,Post-bedtime activities,What do you do after getting out of bed?_period_
positive,Going to breakfast,I immediately go to the bathroom and go downstairs to eat breakfast. Somedays it is very hard to get out of bed though_period_
neutral,Time for breakfast,How long does it take you to eat breakfast each morning?_period_
positive,Quick breakfast,My go-to breakfast is cereal so it usually takes me around 15 minutes. Although_comma_it could take longer depending on if I eat more_period_
neutral,Post-breakfast activities,What else is there to do in the morning after you eat?_period_
positive,Getting ready for school,Firstly_comma_I brush my teeth and hair. Then I get ready for school so I make my bus that comes at 7 am_period_
neutral,Morning routine,What is your morning routine like?_period_
positive,Simple morning routine,I have a very easy morning routine because I wake up at 6:15 every morning_period_
neutral,Starting the morning,How do you start off your mornings?_period_
positive,Socks and getting ready,Well at night I put on socks so the next morning I throw out my underwear_comma_pants_comma_and shirt in less than 10 minutes_period_
positive,Quick start to the day,That's so smart! You don't waste any time. What do you do after that?_period_
positive,Morning routine,I usually go to the bathroom and then eat cereal for breakfast. If I am hungry I'll eat something else_period_
neutral,Travel to school,How long does it usually take to get to school?_period_
positive,Long bus ride,Well the bus usually comes around 7 am and then it is a 50 to 70 minute bus ride on the way there and the same amount of time on the way back_period_
neutral,Weekend plans,How do you like to spend your weekends?_period_
positive,Weekend relaxation,Overall_comma_I just like to relax and not do much_period_
neutral,Starting weekends,How do you start your day on the weekends?_period_
positive,Weekend mornings,I start my day by waking up at 8 and watching TV_period_
neutral,Weekend shows,What do you usually watch on TV?_period_
positive,Watching movies and shows,I usually watch movies and TV shows_period_
positive,Weekend relaxation,That sounds so nice. Do you do anything else?_period_
positive,Weekend reading,I also usually read on the weekends. It really is very relaxing which I need_period_
positive,Relaxing weekend,What was your weekend like?_period_
positive,Weekend relaxation,Very relaxing which is awesome. I got to sleep in because I have to wake up very early during the week_period_
neutral,Weekend wake up,What time do you usually wake up on the weekends?_period_
positive,Waking up late,I usually wake up before 8:00 AM which is the perfect amount of sleep for me_period_
positive,Weekend activities,That's awesome good for you! What did you do for the rest of the day?_period_
positive,Weekend activities,I watched TV_comma_read a book_comma_and even had time for an afternoon nap!_period_
positive,Weekend rest,Good for you. I am glad you were able to reset after a long week_period_
positive,Weekend reset,Yes it was well needed after a long week of waking up early and rushing out the door_period_
positive,Relaxing weekend,Did you have a relaxing weekend?_period_
positive,Weekend relaxation,Yes_comma_ I didn't have to rush anywhere like I do during the week. It was so nice_period_
positive,Weekend rest, I am happy you had a relaxing weekend! It's always nice to refresh_period_
positive,Weekend self-care,Yes_comma_ it is always nice to have downtime for yourself_period_
neutral,Weekend relaxation activities,What activities did you do to relax this weekend?_period_
positive,Relaxing activities,I slept in_comma_watched TV_comma_read a book_comma_and took a nap_period_
positive,Need for downtime,I definitely need to have more downtime. You take such good care of yourself_period_
positive,Importance of self-care,Yes_comma_ having that time to take care of yourself is key to starting a new week_period_
positive,Spending time with mom,Would you and your mom do anything together when you were younger?_period_
positive,Fun at the mall,We would go to the mall together which was always a blast_period_
neutral,Childhood activities,What else did you like to do when you were younger?_period_
positive,Playing with toys,I would play toys by myself or with companions I had_period_
neutral,Favorite playmate,Who was your favorite person to play with?_period_
positive,Favorite playmate,My mom's friends daughter. She was four years old_period_
neutral,Keeping in touch,Did you keep in touch with her growing up?_period_
negative,Shyness around friend,No I was very shy around her because I couldn't talk_period_
positive,Liking the mall,Do you like going to the mall?_period_
positive,Fun with mom,Yes_comma_ my Mom and I would go together and it would be so much fun_period_
positive,Post-mall activities,Aw_comma_that's so nice. Would you do anything after the mall?_period_
positive,Playing with toys,Yes_comma_ I would play with my toys. Sometimes I would play with my mom's friends daughter who was a baby girl at the time_period_
neutral,Meeting mom's friend,How did your mom meet this friend?_period_
positive,Mom meeting friends,My mom met her bowling and they become friends_period_
positive,Feelings for playmate,Did you have any interest in your mom's friends daughter?_period_
positive,Shyness around girls,Yes_comma_ I had feelings for her. I never knew if I should say something. I also would get very shy around girls and didn't know how to talk to them_period_
positive,Spending time with mom,What was your favorite thing to do with your mom?_period_
positive,Fun at the mall,My mom and I used to go to the mall and it was always so much fun_period_
positive,Post-mall activities,Would you guys do anything together after going to the mall?_period_
positive,Playing with toys,When we would get home I would play with my favorite toys. I had so many it was hard to pick which ones to play with_period_
positive,Playing with others,Did you ever play toys with anyone?_period_
positive,Playing with friends,Yes I played toys with a couple of friends_comma_one being my mom's friends daughter. She was such a cute little girl and we would always have the best time playing toys_period_
neutral,Friendship growing up,Were you guys still friends as you grew up?_period_
positive,Timid around girls,Yes_comma_ I still would see her when we were older. She became very funny but I became very timid because I didn't know how to talk to girls. I liked her a lot and didn't know how she felt about me. I still had some feelings for her over the years_period_
positive,Interest in sign language,Why were you watching those people sign?_period_
positive,Learning sign language,I'm so interested in sign language. I would always watch their conversations so I could understand it better_period_
neutral,Learning sign language,Do you know any sign language?_period_
positive,Struggles with learning sign, I am trying to learn sign language_comma_but it is hard because my hands shake alot_period_
neutral,Communicating with sign,Did you ever talk to those people signing?_period_
positive,Joining the conversation,One day they gave me a hard time for staring at them so I signed to them_period_
positive,Becoming friends,What ended up happening?_period_
positive,Joining the group,They let me into their group_comma_we were friends_period_
neutral,Understanding sign language,Did you already know sign language when you were watching them?_period_
positive,Understanding sign language,I understood them_comma_but I wanted to learn more_period_
positive,Enjoying signing,Do you like signing?_period_
positive,Struggles with signing,I do enjoy signing but it can be hard because my hand shakes alot_period_
neutral,Communicating through sign,Where you able to communicate with those people?_period_
positive,Joining the group,They let me watch them sign. They also started including me in their conversations!_period_
positive,Becoming friends,Did you ever become friends?_period_
positive,Riding the bus together,Yes! We rode the bus together!_period_
neutral,Feeling misunderstood,Why do you think those people were mad?_period_
positive,Watching them sign,Because they knew I was watching them sign_period_
neutral,Talking to them,Did you ever get to tell them you are interested in sign?_period_
positive,Telling them about interest,Yes_comma_ I let them know I understood_period_
neutral,Reaction to learning,How did they react?_period_
positive,Shocked reaction,They were shocked!_period_
neutral,Watching them sign,Did they mind you watching them sign after that?_period_
positive,Joining the group,They let me watch them sign and I got to join their conversations!_period_
neutral,Confrontation on the bus,Did the people on the bus confront you?_period_
positive,Noticing the stares,They noticed I was starting at them and gave me a hard time_period_
neutral,Defending yourself,So what did you do?_period_
positive,Sign language defense,I signed "I am not dumb"_period_
neutral,Shocked reaction,Were they shocked?_period_
positive,Confusion at first,They were confused at first_period_
neutral,Explaining yourself,What did you tell them?_period_
positive,Explaining the interest,I told them that I was staring at them because I wanted to learn sign language better_period_
neutral,Sign language response,What happened when you signed to them?_period_
positive,Puzzled at first,At first they were puzzled that I could sign_period_
neutral,Watching them sign,Did they let you watch them sign?_period_
positive,Watching them sign,They let me watch them sign from then on_period_
neutral,Practicing with them,Did you ever practice signing with them?_period_
positive,Becoming part of the group,They included me in their group_comma_I got to answer their questions in sign_period_
neutral,Enjoying the bus ride,Did you enjoy your bus ride after that?_period_
positive,Enjoying the ride,Yes! My bus rides went much faster because I was learning sign_period_
neutral,Understanding sign language,How did the people signing know you understood?_period_
positive,Sign language defense,I signed "I am not dumb" at them_period_
neutral,Shocked reaction,Wow they must have been shocked. Did you get to know them after that?_period_
positive,Learning from them,Yes_comma_ they let me watch and practice with them so I could get better at signing_period_
neutral,Getting better,Did you get better?_period_
positive,Struggles with signing,I learned alot more sign_comma_but it is hard for me to do them because my hand shakes alot_period_
positive,Including you in conversations,Did they still try to communicate with you through sign?_period_
positive,Still included,They knew it was hard for me but they still included me in their conversations and group_period_
neutral,Shocked reaction,Why were the people on the bus shocked?_period_
positive,Surprise at knowing sign,They didn't know I could sign or understand sign_period_
neutral,Reaction to staring,What did they think?_period_
positive,Defending myself,They used to get mad that I would stare at them_comma_but then I explained I wanted to learn more sign language_period_
neutral,Communicating with them,Did they ever try to communicate with you?_period_
positive,Including in conversations,Its hard for me to sign but they still included me in their conversations_period_
neutral,Struggles with signing,Why is it hard for you to sign?_period_
positive,Shaking hands,It's hard for me to sign because my hand shakes alot_period_
positive,Stopping the hard time,When did the people on the bus stop giving you a hard time for staring?_period_
positive,Discovering sign language,When they found out I could sign_period_
positive,Being accepted,Were they nice to you after that?_period_
positive,Watching them sign,Yes they let me watch them on the bus_period_
positive,Enjoying their company,Did you enjoy their company?_period_
positive,Enjoying the bus ride,Yes_comma_ it made my bus ride go alot faster!_period_
neutral,Participating in conversations,Did you only watch them sign?_period_
positive,Answering questions,No they asked me questions to answer_period_
neutral,Struggling to sign,Is it easy for you to sign?_period_
neutral,Struggling with sign,It can be hard signing_period_
neutral,Reason for difficulty,Why is it hard for you to sign?_period_
positive,Shaking hands,Because my hand shakes_period_
positive,Being included,Did that stop you from participating in their conversations?_period_
positive,Still included,No_comma_ they included me in their group_period_
neutral,Being included,How did they include you?_period_
positive,Answering questions,Even though they knew it was hard for me they still asked me questions to answer back in sign with_period_
positive,Enjoying the bus ride,Did you enjoy your bus rides?_period_
neutral,Bus ride experience,It was long but it was interesting seeing different groups of people_period_
positive,Interest in a group,Were you interested in a specific group on the bus?_period_
positive,Interested in signing,Yes_comma_ I was always interested in a group of deaf kids that signed_period_
positive,Joining the group,Did you ever get to sign with them?_period_
positive,Joining their group,Yes! I was grateful they let me into their group_period_
positive,Feeling grateful,Why were you grateful?_period_
positive,Practicing sign language,It let me practice and learn sign language more_period_
positive,Meeting the older girl,Who came onto the bus that one day?_period_
positive,Charming girl,A charming older girl_period_
neutral,What did you like about her?,"She was beautiful with long brown hair_comma_and she was wearing a dress. "
positive,Smiling at her,Did you talk to her when she got on?_period_
positive,Smiling at her,I smiled at her_period_
neutral,Where did she sit?,"She sat a few seats away from me. "
positive,Thoughts on the older girl,What did you think about the older girl who came on the bus?_period_
positive,Finding her attractive,I thought she was hot so I smiled at her!_period_
positive,What she was wearing,What was she wearing?_period_
positive,Beautiful in a dress,She was wearing a dress_comma_I thought she looked beautiful_period_
positive,Friends noticing her,Did the guys in your group notice her?_period_
positive,Signing to friends,I signed to them about her!_period_
positive,What did you tell them?,"I said 'Wow_comma_she's hot!'"
positive,Signing about the girl,What did you sign to your friends about the girl?_period_
positive,Complimenting her,I signed to them 'Wow she is hot!'_period_
neutral,Did she notice?,Did she notice you say that?_period_
positive,Realizing she understood,Yes_comma_ I didn't realize she understood sign language!_period_
neutral,Embarrassment,Were you embarrassed?_period_
positive,Feeling embarrassed,I was shocked! My face turned red!_period_
positive,Her response,What did she say to you?_period_
positive,Thankful response,She thanked me and told me I made her day_period_
neutral,Remembering the older girl,Do you remember the older girl on the bus?_period_
positive,Recognizing her,Yes! She was picked up from the high school every Tuesday and Thursday!_period_
positive,Thoughts on her,What did you think about her?_period_
positive,Finding her attractive,I thought she was beautiful_comma_charming_comma_and hot_period_
neutral,How did you start talking to her?,How did you start talking to her?_period_
positive,Embarrassing moment,It was so embarrassing! I signed to my friends that she was hot_comma_but I didn't know she understood sign._period_
positive,Her reaction,Was she upset with you?_period_
positive,Her understanding,No_comma_ she was very nice! She thanked me and told me it made her day!_period_
neutral,Age difference,How old were you when you met the older girl?_period_
positive,Age difference,I was nine and she was sixteen?_period_
neutral,Meeting her,Where did you meet?_period_
positive,On the bus,On the bus_comma_I thought she was beautiful. She had long brown hair._period_
positive,Her thoughts about him,What did she think about you?_period_
positive,Feeling happy,She told me I was cute_comma_that made me happy_period_
neutral,Riding the bus together,Did you ride the bus together?_period_
positive,Riding the bus together,We rode the bus together every Tuesday and Thursday_comma_I always dressed nice on those days._period_
neutral,After the compliment,What happened after you called that older girl hot?_period_
positive,Her response,She thanked me and said that I was cute._period_
positive,Becoming friends,Did you both become friends?_period_
positive,Getting to know each other,I got to know more about her on those bus rides and she learned a lot about me._period_
neutral,Age gap,Isn't 7 years a pretty big age gap for friends?_period_
positive,Understanding each other,I thought she understood me pretty well._period_
neutral,Living close,Did you guys live close together?_period_
positive,Living nearby,She lived ten minutes away from my house!_period_
neutral,Reaction to hearing aids,How did your friends and family react to the hearing aids?_period_
positive,Struggles with acceptance,It was hard for them to understand at first. They thought I didn't want to wear hearing aids because I wanted to avoid hearing them talk._period_
neutral,Feeling misunderstood,It sounds like they took it pretty personally._period_
positive,Turning off hearing aids,Well_comma_ for a while I thought my hearing was the same_comma_so I tried to turn the hearing aids off. I thought I didn't need them._period_
neutral,Leaving them off,Did you end up just leaving them off?_period_
positive,Sometimes it worked,No. Some days it worked_comma_because I wore them and would still get pain_comma_but no headaches. So everyone was happy those days._period_
neutral,Everyone being happy,What do you mean that everyone was happy? Both you and your family?_period_
positive,Happy family and self,Yeah_comma_ I was happy because it wasn't headaches like it sometimes would_comma_but I still had them in so my family was happy too._period_
neutral,Hearing aids frustration,What did you end up doing with your hearing aids?_period_
positive,Trying to make it work,I told people I didn't want to wear them_comma_but they didn't understand_comma_so sometimes I just turned tried to turn them off_period_
neutral,Frustration with understanding,It can be frustrating when people won't listen to your needs_period_
positive,Sometimes no pain,Yes_comma_ even after I explained they still had trouble understanding. Sometimes I wore them and didn't get headaches_comma_and that made everyone happy_period_
neutral,Weekend relief,Oh_comma_ so there were days when you were able to wear them with no pain? That's great!_period_
positive,No headaches on weekends,Well_comma_ I still had pain_comma_but no headaches. Honestly_comma_the best times were the weekends because of it_period_
positive,Weekend relaxation,What about your hearing aids made you like weekends the most?_period_
positive,No hearing aids on weekends,I would take my hearing aids off on the weekends and just relax. It was great_period_
neutral,Reaction to not liking hearing aids,How did they react when you told them you didn't like your hearing aids?_period_
positive,Thoughts on not wearing them,When I told them about it_comma_they thought I didn't want to wear them_period_
neutral,Why not wear them?,Why didn't you want to wear them?_period_
positive,Turning them off,I thought my hearing was the same_comma_so I tried to turn it off_period_
neutral,Reasoning behind it,I see. But why did you think your hearing was the same?_period_
positive,Still hearing TV and parents,Because I could hear the TV and my parents talking_period_
neutral,Understanding the issue,But those are both loud noises. It's possible that you could hear those noises even if you had hearing loss._period_
positive,Not wanting to admit loss,I guess you're right. But I didn't want to admit that I had hearing loss_period_
positive,Weekend plans,What would you do on the weekends?_period_
positive,Shopping with mom,Sometimes I went with my mom to the mall on Saturdays. I enjoyed that_period_
neutral,Enjoying the mall,The mall has a lot of great things in it. What did you like to do there?_period_
positive,People watching,My mom would go there to find good shopping deals_comma_but I liked to people watch_period_
positive,Enjoying people watching,People watching can be fun. What do you like about it?_period_
positive,Laughing at people watching,I like watching the girls in the mall. Sometimes [B-PER] and I would laugh about it_period_
positive,Fun memories,That sounds like a great time!_period_
positive,Fun at the mall,It was. I have a lot of fun memories from the mall_period_
positive,People watching at the mall,What kinds of things did you like doing at the mall?_period_
positive,Watching girls at the mall,I loved to people watch. I remember one day_comma_ [B-PER] turned to me and asked if I was people watching_period_
positive,Honest response,What did you tell her?_period_
positive,Reaction to change,She typed in boy watching into your device? How did you react?_period_
positive,Frustration with change,I yelled at her and said I was watching girls instead_period_
positive,Fun despite frustration,I bet it was frustrating to have her typing for you._period_
positive,Laughing it off,No_comma_ we were just having fun. We both had a good laugh about it_period_
neutral,Reacting to girl watching,Did anyone ever react to your girl watching at the mall?_period_
positive,Reaction from [B-PER],I remember [B-PER] reacting once. I told her I was girl watching and she said "I am happy that you like girls and not boys_comma_because I was scared you might."_period_
neutral,Responding to the comment,I'm not sure how I would react to that. What did you end up responding with?_period_
positive,Playful response,I said to her_comma_after we're done eating_comma_I will put you in the snow for that!_period_
positive,Laughing together,What happened next?_period_
positive,Having fun,We both laughed. It was a lot of fun_comma_and we were joking around_period_
positive,Sharing a meal,I'm glad you were both having fun!_period_
positive,Sharing food,Yes. She gave me a bite of pizza after that and had a bite too_period_
neutral,Comment about the mall,What happened next?_period_
positive,Boy watching comment,[B-PER] said "I saw going to the mall with your mom for shopping and boy watching."_period_
neutral,Defending the plan,How did you respond?_period_
positive,Defending the fun,I said she was cute_comma_but that I wasn’t going boy watching! I was going to see everything and girl watch_period_
neutral,Experience at the mall,What is it like when you go to the mall?_period_
positive,Wheelchair arrangement,Normally my mom would push me around in my wheelchair_period_
positive,Enjoying the mall,Did you enjoy that arrangement?_period_
positive,Enjoying the ride,Yes. I would get to sit back and just watch everything_period_
neutral,Other activities as a kid,What other things did you do as a kid?_period_
neutral,Staying home or going out,If we didn't go to the mall_comma_I would stay home and play with my own toys_period_
positive,Enjoying playtime,That makes sense. What was that like for you?_period_
positive,Enjoying space,I had my own space to play in_comma_and I would play for hours and hours_period_
neutral,Playing alone,Were you alone when you played?_period_
positive,Playing with dad,Sometimes_comma_but if I didn't want to play alone I would go downstairs and watch my dad play with his trains_period_
neutral,Trains,Play with his trains?_period_
positive,Dad’s collection,Yes. He has about 200 miniature trains. He would only play with them on weekends_period_
positive,Weekend routine,What were your weekends like?_period_
positive,Relaxing weekends,They were very nice. When I wasn't at the mall_comma_I was either playing with toys or watching my dad_period_
positive,Watching dad,What were you watching your dad do?_period_
positive,Watching trains,He had almost 200 miniature trains. He would only play with them on weekends_period_
positive,Fun with trains,That sounds like fun. Trains are really cool._period_
positive,Enjoying trains,Yes_comma_ I enjoyed it. But I was sad when the weekend was over_period_
neutral,Why sad?,Why were you sad when the weekend was over?_period_
positive,Back to school,Because then I had to go back to school and wear my hearing aids again_period_
negative,Thoughts on hearing aids,What did you think of your hearing aids overall?_period_
negative,Disliking the hearing aids,I really didn't like my hearing aids. I dreaded having to wear them_period_
positive,Why dislike them?,Why did you feel so strongly about them?_period_
negative,Headaches and difficulty,They gave me headaches_comma_and they were hard to remember_period_
neutral,Forgetfulness,Why did you have trouble remembering them?_period_
positive,Feeling separate,They just didn't feel like they were a part of me_period_
positive,Frustration with hearing aids,That sounds like it would be frustrating._period_
negative,Disliking them,It was. I really disliked my hearing aids_period_
negative,Hearing aids at school,How did you handle bringing your hearing aids to school?_period_
negative,Forgetting the hearing aids,Not well. Sometimes I would forget my hearing aids at home_period_
neutral,Reason for forgetting,Why would you forget them?_period_
negative,Feeling separate,They just felt like a separate thing. When I did remember them_comma_I would try to turn them down or off_period_
positive,Problems with hearing aids,Did that ever cause issues for you?_period_
positive,Swimming pool issue,Sometimes. I started having problems because the school had a swimming pool_period_
neutral,Hearing aids at school,It seems like hearing aids would be tough to handle bringing back and forth from school._period_
negative,Struggling with hearing aids,They were. They just didn't feel like a part of me_period_
neutral,Tracking hearing aids,Was it easy to keep track of your hearing aids?_period_
negative,Forgetting hearing aids,Some days_comma_I would forget them at home because I felt like they weren't a part of me_period_
positive,Difficulty without them,Wasn't it difficult to hear without them?_period_
negative,Hearing aid discomfort,It was. I couldn't hear what was going on in class_comma_but the hearing aids hurt my ears. I knew I needed them_comma_so I tried to remember them_period_
neutral,Feeling disconnected,I can understand that. But why did you feel like they weren't a part of you?_period_
negative,Not feeling right,I don't know. I just didn't feel they were right for me_period_
positive,Glad to wear them,Well_comma_ I'm glad you eventually came around to wearing them_period_
positive,Help from hearing aids,Me too. they've really helped me_period_
negative,Hearing aids in school,What was it like to have hearing aids in school?_period_
negative,Teacher taking hearing aids,It was hard. One of my teachers would take my hearing aids_period_
neutral,Teacher taking them away,They would actually take them away from you?_period_
negative,Teacher questioning,They would take them so they could see them. One day a teacher asked me_comma_"why are they off?"_period_
negative,Teacher’s reaction,Oh_comma_ that must have been scary. What did you do?_period_
positive,Playing dumb,I played dumb because I did not want them to know I had turned them off on purpose_period_
positive,Teacher’s persistence,Did they believe you?_period_
positive,Persistence in questioning,Yes_comma_ but a few weeks went by and they kept asking the same question_period_
negative,Teachers' questions,What did your teachers think of your hearing aids?_period_
negative,Annoying questions,They would constantly ask me about them. It was annoying_period_
neutral,Why annoying?,Oh? What about them asking was annoying?_period_
negative,Repeated questions,They would always ask me why my hearing aids were off_period_
positive,Playing dumb,How would you respond to things like that?_period_
negative,Hiding the truth,I would play dumb and pretend I didn't realize_period_
positive,Why hide the truth?,Why would you play dumb instead of telling them the truth?_period_
negative,Not wanting to admit,I didn't want them to know I'd turned them off on purpose_period_
negative,Getting in trouble,Did you ever get in trouble for having your hearing aids off?_period_
negative,Teacher’s persistence,Yes_comma_ I did. I would always have teachers bug me about why my hearing aids were off_period_
neutral,What did they do?,What would they do?_period_
negative,Turning them back on,They would keep asking why it was off and then turn it back on for me_period_
positive,Frustration with control,it must have been frustrating to be forced to turn them back on_period_
negative,Disliking hearing aids,Yes_comma_ I hated it. I didn't want to wear them_comma_and didn't want to have to listen to everything_period_
positive,Needing hearing aids,But don't you need your hearing aids to hear what the teacher is saying in school?_period_
positive,Teacher’s frustration,I did. That's why they would always get mad at me_period_
negative,Keeping them off,Did you just keep your hearing aids off all the time?_period_
neutral,Teacher’s notice,Yes_comma_ but one day a teacher asked me to come see her_period_
neutral,Teacher’s inquiry,What did she want from you?_period_
negative,Teacher noticing,She noticed my hearing aids had been off for a few weeks_period_
positive,Teacher’s control,Oh_comma_ I see. So what did you do?_period_
neutral,Turning them back on,I went to see her_comma_and she turned my hearing aid back on_period_
negative,Frustration with control,Having someone take control of your hearing aid like that must have been frustrating for you_period_
positive,Frustration with control,It was. I had kept them off for a reason_comma_and she didn't care about that_period_
negative,Teacher catching you,When a teacher caught you with your hearing aids off_comma_what would you do?_period_
positive,Playing dumb,I would pretend I didn't realize they were off_period_
neutral,Teacher’s response,That makes sense. How did teachers respond to that?_period_
negative,Teacher turning them on,Once_comma_I had a teacher turn my hearing aid back on for me_period_
positive,Turning them off again,That must have been hard. Did you leave it on after that?_period_
negative,Removing them,No. By lunch time_comma_I took my hearing aids off entirely_period_
neutral,Why take them off?,Why did you take your hearing aids off?_period_
negative,Discomfort at lunch,I just didn't want to listen to all the kids in the lunch room_period_
negative,Hearing aids at lunch,What was lunch like with your hearing aids?_period_
positive,Removing them at lunch,One time_comma_I took them off and gave them to the person feeding me_period_
neutral,Why take them off?,Why did you take them off entirely?_period_
negative,Noise at lunch,I just didn't want to listen to 300 kids talking while I was trying to eat_period_
positive,Understanding the situation,That makes sense- that is a lot of kids. What did you do next?_period_
positive,Eating after a long wait,I remember eating a lot because I hadn't eaten food for six hours!_period_
neutral,Being very hungry,Wow_comma_that's a lot of time! You must have been very hungry._period_
positive,Eating a lot,Yes_comma_ I was. I ate enough food for three people!_period_
positive,After lunch with hearing aids,What would you do after lunch at school?_period_
positive,Hearing aids back in,After eating_comma_I was happier_comma_so someone would put my hearing aids back in for me_period_
neutral,Did it help?,I'm glad you put them back in. Did it make the rest of the day easier?_period_
negative,Still hard to hear,Not really. I still couldn't hear my teacher_comma_even with my hearing aids in_period_
neutral,Why hard to hear?,That's frustrating. Did you tell her what was going on?_period_
negative,No one knew,No_comma_ I didn't. No one really knew why I couldn't hear her_period_
positive,Affecting concentration,That's weird. It must have affected your ability to concentrate._period_
positive,Struggling to focus,Yes_comma_ I found it very difficult to follow what the teacher was saying_period_
negative,Paying attention in class,Did you have trouble paying attention in class?_period_
positive,Struggling to hear,Yes_comma_ I did. I was looking at the teacher_comma_but it was still hard to hear her_period_
positive,Struggling to focus,That must have been hard. I would have trouble concentrating_comma_too._period_
negative,Daydreaming,Yes. I ended up daydreaming a lot. I was just bored_period_
positive,Teacher’s observation,Did the teacher ever notice that you were having trouble?_period_
positive,Teacher not figuring it out,Yes_comma_ but she couldn't figure out what was wrong_comma_because my hearing aids were still on_period_
neutral,Not helping,It sounds like the situation wasn't really helpful for you._period_
negative,Not learning anything,No. I wasn't really learning anything. I was bored_period_
neutral,School’s response,What did the school do to try to help you learn better?_period_
neutral,School’s efforts,They tried doing different things with me. But I didn't like that_period_
negative,Disliking changes,Why didn't you like what they were doing?_period_
negative,Unwanted changes,I didn't like having my schedule changed_period_
positive,Changing schedule,What did they do to change your schedule?_period_
negative,Unwanted therapy,They wanted me to do more [B-MISC]ccupatioal therapy_comma_physical therapy and speech_comma_but I didn't want to._period_
neutral,Discomfort with therapy,I bet it was hard to do something you didn't want to do like that._period_
negative,Not learning anything,It was. It felt like a bit of a joke_comma_because I wasn't learning anything_period_
neutral,New schedule,What was your new schedule like in school?_period_
positive,More therapy,They gave me more OT_comma_PT_comma_and Speech therapy_period_
neutral,Feelings about therapy,How did you feel about having more therapy?_period_
positive,Mixed feelings,I felt mixed. I loved it because I knew the OT and PT_comma_but I was frustrated with them_comma_too_period_
negative,Frustration with therapists,Why were you frustrated at your therapists?_period_
negative,Therapists’ reaction,When they learned I wore hearing aids_comma_they gave me a hard time about it_period_
neutral,Frustration with change,Oh_comma_ that must have been frustrating._period_
positive,Mixed emotions,Yes_comma_ it was. So I felt both good and bad about the change_period_
positive,Other classes,What other things did you do in school?_period_
positive,Variety of classes,I had a lot of other classes besides PT and OT_period_
neutral,Types of classes,What kinds of classes were you in?_period_
positive,Fun activities,When I was done with PT and OT_comma_I had other things like swimming_comma_art class_comma_workshop_comma_and cooking class_period_
neutral,Regular classroom,Did you have a regular classroom_comma_too?_period_
positive,Variety of activities,Yes_comma_ I was in classroom in addition to all my other things_period_
neutral,Variety,That sounds like a lot of variety in what you could do._period_
positive,Enjoying school,Yes. I did a lot of different things in school_period_
neutral,First time in speech therapy,What was speech therapy like?_period_
neutral,First time sent to speech,Well_comma_ I hadn't been to the speech room before they changed my schedule_period_
neutral,Waiting outside,Oh wow. So what did you do when they sent you to speech?_period_
neutral,Waiting outside the door,I waited outside the door because I had never been there before_period_
neutral,Speech room,That makes sense. What was the room like?_period_
